u1         v1         u2         v2         u3         v3         q         
----------------------------------------------------------------------
1          0          0          1          256112     46064      0         
0          1          1          -5         46064      25792      5         
1          -1         -5         6          25792      20272      1         
-1         2          6          -11        20272      5520       1         
2          -7         -11        39         5520       3712       3         
-7         9          39         -50        3712       1808       1         
9          -25        -50        139        1808       96         2         
-25        459        139        -2552      96         80         18        
459        -484       -2552      2691       80         16         1         
-484       2879       2691       -16007     16         0          5         
