u1         v1         u2         v2         u3         v3         q         
----------------------------------------------------------------------
1          0          0          1          1042128    445295     0         
0          1          1          -2         445295     151538     2         
1          -2         -2         5          151538     142219     2         
-2         3          5          -7         142219     9319       1         
3          -47        -7         110        9319       2434       15        
-47        144        110        -337       2434       2017       3         
144        -191       -337       447        2017       417        1         
-191       908        447        -2125      417        349        4         
908        -1099      -2125      2572       349        68         1         
-1099      6403       2572       -14985     68         9          5         
6403       -45920     -14985     107467     9          5          7         
-45920     52323      107467     -122452    5          4          1         
52323      -98243     -122452    229919     4          1          1         
-98243     445295     229919     -1042128   1          0          4         
